Window,Start_Date,End_Date,Window_MAPE,Window_MAE,Direction_Acc
1,2023-07-27,2023-09-06,0.7002,31.24,100.0
2,2023-09-07,2023-10-18,2.8685,123.89,44.8
3,2023-10-19,2023-11-29,5.3508,229.41,69.0
4,2023-11-30,2024-01-10,2.1201,100.0,93.1
5,2024-01-11,2024-02-21,9.3711,462.72,10.3
6,2024-02-22,2024-04-03,15.7657,813.89,13.8
7,2024-04-04,2024-05-15,14.4037,739.47,55.2
8,2024-05-16,2024-06-26,16.828,903.45,20.7
9,2024-06-27,2024-08-07,19.4545,1070.99,41.4
10,2024-08-08,2024-09-18,19.6857,1092.23,0.0
11,2024-09-19,2024-10-30,22.0359,1273.96,17.2
12,2024-10-31,2024-12-11,23.5236,1403.54,0.0
